href;firstName;lastName;rank_score_Welterweight;rank_Welterweight
198994b47f395af0;Carlo;Pedersoli Jr.;0.0;241
19a8cce18a1cef9e;James;Head;0.0;242
19db7ac26308178f;Ivan;Jorge;0.0;243
1a7745388839e52b;John;Maguire;0.0;244
1bcaac2d99b90fce;Sergio;Moraes;0.0;245
1c86754617d9813a;Roan;Carneiro;0.0;246
1d00756835ca67c9;Donald;Cerrone;0.0;247
1ddb480b601cefb1;Chance;Rencountre;0.0;248
1e327b281ef6a745;Adlan;Amagov;0.0;249
1e7483dbff40b84b;Vik;Grujic;0.0;250
1fcfc3709fe58151;Peter;Sobotta;0.0;251
203c957eac95dd87;Hyun Gyu;Lim;0.0;252
210935fd21670f6d;Rich;Attonito;0.0;253
22a92d7f62195791;Tony;Ferguson;0.0;254
22edaf53ad59a967;Daniel;Roberts;0.0;255
236a37d96d476164;Mike;Pierce;0.0;256
23725c826c481e7f;Paul;Daley;0.0;257
4c288a2b250bb576;Luke;Jumeau;0.0;258
4e0692ad070976e4;Lyman;Good;0.0;259
9450848a71d53776;Lorenz;Larkin;0.0;260
7e69a4b0961aa555;Brad;Blackburn;0.0;261
86dfed7cc24a9fa7;Matt;Serra;0.0;262
852454c572675334;James;Wilks;0.0;263
84ac950d4c1722dd;Duane;Ludwig;0.0;264
83a477a7dba1ca58;Clay;Harvison;0.0;265
8163cd7de0342652;Erick;Montano;0.0;266
813550bc53b15fb0;Yancy;Medeiros;0.0;267
7d3caf0f96f1b33d;Nick;Thompson;0.0;268
74d35fbc9c6a61bd;Alvaro;Herrera Mendoza;0.0;269
7d21de9c6d7c98b2;Rich;Clementi;0.0;270
7cdd3e5d3aa9cb39;Yan;Cabral;0.0;271
7c6e87729e824ef4;Ildemar;Alcantara;0.0;272
7b6e40a73b567072;Shonie;Carter;0.0;273
7b310409440c9102;Zhang;Lipeng;0.0;274
7a39bbac8cc0fa70;Gasan;Umalatov;0.0;275
86f582852a5b240a;Mac;Danzig;0.0;276
896c322f56b8be5a;George;Sotiropoulos;0.0;277
8a56ea383fd26e52;Galore;Bofando;0.0;278
8b5f9ea38184ded3;Nicholas;Musoke;0.0;279
8b69839f3555a67b;Martin;Kampmann;0.0;280
8c0580d4fff106c1;Kelvin;Gastelum;0.0;281
8c8c92a12621d7e0;Chris;Cope;0.0;282
