href;firstName;lastName;rank_score_Lightweight;rank_Lightweight
3be081c29bf734d9;Takanori;Gomi;0.0;212
3c921b1a30fdcbdd;Mike;Ricci;0.0;213
96c336b463e0662c;Frankie;Perez;0.0;214
4b47e71384a9522f;Tim;Means;0.0;215
5331b25a60417ffb;Anthony Rocco;Martin;0.0;216
52ba464d9068d871;Elias;Silverio;0.0;217
51e86de150ee8be6;Thibault;Gouti;0.0;218
501b07aec9b8fc2d;Sam;Stout;0.0;219
4f732e58ed907eff;Ross;Pearson;0.0;220
4c805f5f58a75df0;Mikey;Burnett;0.0;221
4ac1ecf8ce59ef23;Jason;Saggo;0.0;222
3e61082025db8137;Yosdenis;Cedeno;0.0;223
49f4b511932f71e9;David;Michaud;0.0;224
47b9e0e7703a4868;Jorge;Masvidal;0.0;225
44bc27bfa76dcd9e;Renee;Forte;0.0;226
44470bfd9483c7ad;Katsunori;Kikuno;0.0;227
44260175069b6276;Jens;Pulver;0.0;228
40a604761ca7d64d;Din;Thomas;0.0;229
2721bb808bb2523c;Curt;Warburton;0.0;230
2676b28836a5a836;Benson;Henderson;0.0;231
25af5e832f17b474;Jesus;Pinedo;0.0;232
08e908ed6d18d6a0;Myles;Jury;0.0;233
15b1b21cd743d652;Rafaello;Oliveira;0.0;234
159da492e000afbf;Leandro;Silva;0.0;235
14ff46596ad80609;Norman;Parke;0.0;236
13b2f59210dda9cc;Kevin;Jackson;0.0;237
0cf935519d439ba6;Enson;Inoue;0.0;238
0a97691039c4bbfb;Mark;Hominick;0.0;239
065eb44700e641a4;Devin;Powell;0.0;240
253de74457bd6374;Tony;Fryklund;0.0;241
058e4e08a1ad8aba;Dale;Hartt;0.0;242
04d5718ed2661e8c;Jorge;Gurgel;0.0;243
04c15b52c3cc1cab;Nate;Mohr;0.0;244
04643fd03d9159cc;Marcus;Aurelio;0.0;245
03c9994c5b8958ec;John;Cholish;0.0;246
029880cdbf5ca089;Sean;Sherk;0.0;247
182f2b78582de3d8;Marcus;LeVesseur;0.0;248
18968f97ad34f15c;Jeremy;Stephens;0.0;249
18e8b7070228e728;Darrell;Horcher;0.0;250
19db7ac26308178f;Ivan;Jorge;0.0;251
1b38a2b897f6209c;Felipe;Silva;0.0;252
1c061eb6e29eaa0a;Bob;Cook;0.0;253
1c2f2571b18791b6;Laverne;Clark;0.0;254
1d00756835ca67c9;Donald;Cerrone;0.0;255
1d147d4163a6989b;Nick;Sanzo;0.0;256
1efa064872f089d0;David;Bielkheden;0.0;257
1f4b04a926ef1287;Johnny;Case;0.0;258
20205040232ed0f3;Tyson;Griffin;0.0;259
207773daeb4afa7b;Devonte;Smith;0.0;260
22a92d7f62195791;Tony;Ferguson;0.0;261
22aa91e402d0fe1f;Ramsey;Nijem;0.0;262
23024fdfc966410a;Gilbert;Burns;0.0;263
231926533134ec1f;Justin;Buchholz;0.0;264
53e533db1b8e9712;Jack;Nilson;0.0;265
53ec9cb470e1a4ea;Jon;Tuck;0.0;266
55ee431411ccf07a;Olivier;Aubin-Mercier;0.0;267
7ea1f74cef32f906;Rashid;Magomedov;0.0;268
86dfed7cc24a9fa7;Matt;Serra;0.0;269
00a3ff40c4b2cf21;Glaico;Franca Moreira;0.0;270
83fd97284f4bb4a4;Efrain;Escudero;0.0;271
8355922d564b152c;Nate;Diaz;0.0;272
82e7929bf6c2b689;Diego;Sanchez;0.0;273
813550bc53b15fb0;Yancy;Medeiros;0.0;274
7dcf06c1967801c1;Adriano;Martins;0.0;275
7abe471b61725980;Fabricio;Camoes;0.0;276
7d96bc577e5178b2;Gray;Maynard;0.0;277
7d21de9c6d7c98b2;Rich;Clementi;0.0;278
7cdd3e5d3aa9cb39;Yan;Cabral;0.0;279
7be63795363029e8;Cody;McKenzie;0.0;280
7b6e40a73b567072;Shonie;Carter;0.0;281
7b310409440c9102;Zhang;Lipeng;0.0;282
86f582852a5b240a;Mac;Danzig;0.0;283
879f6cae48d25baa;Justin;Lawrence;0.0;284
8866c6f509c19089;Ryan;Hall;0.0;285
896c322f56b8be5a;George;Sotiropoulos;0.0;286
8a59d346dc976a10;Thiago;Tavares;0.0;287
8a8a84b743ae7699;Dennis;Hallman;0.0;288
